code_asset,id_item,id_shop,id_cabang,id_category_asset,id_unit,asset_name,nilai_buku,status,timestamp,user_update,keterangan
TM510,1,2388,0,5,23,Kunci Ring (Offset Wrench),0,Active,5/20/2014 11:47,240,\N
M5-1315,2,2388,0,5,2,Kunci Ring 13-15 (Offset Wrench),0,Active,5/20/2014 11:47,240,\N
M5-3032,3,2388,0,5,2,Kunci Ring 30-32 (Offset Wrench),0,Active,5/20/2014 11:54,240,\N
TMS212,4,2388,0,5,23,Kunci Pas Ring (Combination Wrench),0,Active,5/20/2014 11:54,240,\N
MS2-11,5,2388,0,5,2,Kunci Pas Ring 11 (Combination Wrench),29581,Active,6/17/2014 8:42,240,\N
MS2-18,6,2388,0,5,2,Kunci Pas Ring 18 (Combination Wrench),55165,Active,6/17/2014 8:43,240,\N
MS2-24,7,2388,0,5,2,Kunci Pas Ring 24 (Combination Wrench),93541,Active,6/17/2014 8:43,240,\N
MS2-27,8,2388,0,5,2,Kunci Pas Ring 27 (Combination Wrench),123123,Active,6/17/2014 8:43,240,\N
MS2-30,9,2388,0,5,2,Kunci Pas Ring 30 (Combination Wrench),151905,Active,6/17/2014 8:43,240,\N
MS2-32,10,2388,0,5,2,Kunci Pas Ring 32 (Combination Wrench),167895,Active,6/17/2014 8:43,240,\N
TB420X,11,2388,0,5,23,Kunci Sock (Socket Wrench),2488843,Active,6/17/2014 8:43,240,\N
B4L-12,12,2388,0,5,2,Kunci Sock Panjang 12 (Deep Socket) SQ1/2,54366,Active,6/17/2014 8:43,240,\N
B4L-14,13,2388,0,5,2,Kunci Sock Panjang 14 (Deep Socket) SQ1/2,54366,Active,6/17/2014 8:43,240,\N
B4L-17,14,2388,0,5,2,Kunci Sock Panjang 17 (Deep Socket) SQ1/2,59163,Active,6/17/2014 8:43,240,\N
B4L-19,15,2388,0,5,2,Kunci Sock Panjang 19 (Deep Socket) SQ1/2,59163,Active,6/17/2014 8:43,240,\N
B4L-21,16,2388,0,5,2,Kunci Sock Panjang 21 (Deep Socket) SQ1/2,71955,Active,6/17/2014 8:43,240,\N
BP4L-17T,17,2388,0,5,2,Kunci Sock Panjang Hitam Impact (Deep Impact Socket) 17 SQ1/2,87945,Active,6/17/2014 8:43,240,\N
BP4L-19T,18,2388,0,5,2,Kunci Sock Panjang Hitam Impact (Deep Impact Socket) 19 SQ1/2,105534,Active,6/17/2014 8:43,240,\N
